adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
FALSE,/yC0FE6iSKz082eR9zpflmoZlsZT.jpg,"c(35, 18, 10749, 10770)",241999,en,A Star for Christmas,"The only thing that is working in Cassie's world is her small town business. Her Christmas Cupcakery is a huge success, but her love life is a mess. Cassie's whole universe is turned upside down when she falls in love with a co-worker who is revealed to be the famous and notoriously troubled actor Alex Gray. There's no denying that Alex and Cassie are in love, but can their relationship survive the pressure of Hollywood and the holidays?",4.758,/wSgLJ7ZsBiF0HPLnPgVOxRvSHhb.jpg,2013-12-09,A Star for Christmas,FALSE,5.6,40
FALSE,/h0QfGN4PjovosbfsvEn3Tujf56z.jpg,"c(10749, 35, 10402)",878111,en,A Christmas Number One,"Meg, a music manager, travels from New York to London to manage a boy band, Five Together, and find them a Christmas number one to bolster their flagging career.  She finds a song on the internet posted by an ailing thirteen-year-old girl, Nina, and tries to obtain permission to have the song re-recorded by Five Together, but she discovers she has competition from the songwriter, Nina’s uncle Blake. What follows is a romantic comedy about two worlds colliding – with a young woman at the centre who desperately wants her uncle to find love and for his song to hit the number one spot by Christmas Day.",5.055,/1qkUG6UcUXwkrobQOtWfjcPQr76.jpg,2021-12-10,A Christmas Number One,FALSE,5.9,24
FALSE,/qGfMH13DxgnM9n2eyLDNyPHO33O.jpg,"c(10749, 10770)",474972,en,The Sweetest Christmas,"After breaking up with her long-term boyfriend just before the holidays, passionate baker Kylie reconnects with her high school sweetheart, Nick. Thanks to their newly rekindled friendship, Kylie uses Nick’s restaurant to prepare for a gingerbread baking competition with a large cash prize that would help her open her own bakery.",7.482,/yzaLHT3WxQelA66MSkUlGw9DlmK.jpg,2017-11-11,The Sweetest Christmas,FALSE,6.4,70
FALSE,/f0u7oOAmGC5sHyKMxAY3ARb9WFx.jpg,"c(10749, 35, 18)",343144,ca,"Barcelona, nit d'hivern",Multiple love stories unfold in Barcelona during Christmas's Eve.,6.377,/a21FeB4RLiGEXSSNqPgf6H3TzNG.jpg,2015-12-04,Barcelona Christmas Night,FALSE,6.3,69
FALSE,/soG4Zoxqn30r3ZJjQRZdlxAuaaL.jpg,"c(10770, 10749)",642964,en,Christmas with a Prince: Becoming Royal,"One year after Dr. Tasha and Prince Alec met and fell in love, Tasha is on her way to spend the holidays in San Saverre and get a taste of royal life. When Alex surprises her with a royal engagement, she spends her first magical days there trying to stay grounded while managing the task of planning a royal wedding. But when Miranda starts scheming to break the two up, it will take a big sacrifice and a Christmas miracle to make sure they get the holiday royal wedding of their dreams.",5.929,/bFmGswkbh4ncGO42dldZFyuHYG6.jpg,2019-11-03,Christmas with a Prince: Becoming Royal,FALSE,7.1,29
FALSE,/tfv2syiRg2rMosU6TLYRHUUmcAb.jpg,"c(10749, 10770, 18, 35)",626323,en,Picture a Perfect Christmas,"A Los Angeles extreme-sports photographer returns home for the holiday to take care of her grandmother, only to have a neighbor grab her attention as he needs assistance watching his young nephew.",5.644,/6j8XUqPooxOzx8yLQIwFnvhf7k6.jpg,2020-12-25,Picture a Perfect Christmas,FALSE,6.6,11
FALSE,/dtrq8Ly72AAIxQTZiFBrsSDO39f.jpg,"c(10770, 10749)",474976,en,"With Love, Christmas",Advertising execs Melanie Welsh and Donovan Goodwin disagree on a cellphone Christmas commercial they’re pitching. He says his sleek design will win over the client but she knows it lacks holiday spirit.,7.398,/4nbTHrFz2hPH1TkG3K92UkYPKyW.jpg,2017-11-22,"With Love, Christmas",FALSE,6.9,51
FALSE,/qqkAHTXdjUuMELepCq3jr0Ygpr1.jpg,"c(10770, 35, 10749)",299578,en,A Cookie Cutter Christmas,"Two longtime rivals and elementary school teachers duke it out during the holidays in a Christmas cookie bake-off, but their real feud ignites over a shared interest in a handsome single dad. With both determined to win the prize and the romance, their competitiveness could jeopardize what matters most this Christmas season.",7.393,/2RxFyWQqExYSyWsKrHqrOojIEm6.jpg,2014-11-09,A Cookie Cutter Christmas,FALSE,6.2,72
FALSE,/1nMWPC9DEW7fTnakxhHoDAwGsvi.jpg,"c(10749, 10770)",474987,en,Marry Me at Christmas,"Organizing a Christmas wedding is a true treat for bridal boutique owner Madeline Krug. She loves the challenge of finding the perfect dress for the bride and orchestrating an exquisite event. What Madeline didn’t expect was to be swept off her feet by the bride’s gorgeous brother, movie star, Jonny Blaze. Jonny came to the quirky town of Fool’s Gold to support his sister -- not to fall in love. Yet Madeline is the most extraordinary woman he’s ever met, and she finds the real Jonny even more captivating than her celebrity crush. Will the action star be brave enough to take on the role of a lifetime?",6.98,/aAzbrvZLiurV0i7rJdVCXlOmVOa.jpg,2017-10-28,Marry Me at Christmas,FALSE,6.3,56
FALSE,/wq8NiXe0OFbwWyd1tWxDTUQXW4r.jpg,"c(35, 18, 10751, 10749, 10770)",488063,en,My Christmas Prince,"Samantha, a dedicated teacher in Manhattan, returns to her home town of Maple Falls, Wyoming every year for Christmas. This year, she’s delighted when her boyfriend Alex, a European diplomat from the tiny country of Madelvia, decides to joins her. Samantha later discovers Alex is actually a prince destined for the throne, turning her entire world upside down. Realizing that staying with Alex means spending her life in the constant glare of publicity and giving up the job opportunity of a lifetime, Samantha must decide if she loves Alex enough to make the transition from teacher to royal – or will it be too big a leap",7.377,/kaux8gr6DcR5ELv84mR1qlghmz3.jpg,2017-12-03,My Christmas Prince,FALSE,6.3,48
